,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Level I,Level II,Level III,Level IV
1887,Greenwich Village,40.72693289,-73.99991403,Bareburger,40.72827606542179,-73.99821844766849,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1888,Greenwich Village,40.72693289,-73.99991403,J.G. Melon,40.729151370984674,-74.0012631457667,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1889,East Village,40.72784678,-73.98222617,Whitmans,40.7279733967652,-73.98429759357843,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1890,Tribeca,40.72152197,-74.01068329,Walker's,40.719809192927315,-74.00685377052856,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1891,Tribeca,40.72152197,-74.01068329,Whitmans,40.725111,-74.008039,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1892,Little Italy,40.71932379,-73.99730467,Breakroom,40.716656,-73.99972199999999,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1893,Soho,40.72218384,-74.00065667,Black Tap,40.7237935688874,-74.00419096613697,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1894,Morningside Heights,40.80799974,-73.96389628,Shake Shack,40.8079332191406,-73.96401291782415,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1895,Morningside Heights,40.80799974,-73.96389628,Mel's Burger Bar,40.80454679733712,-73.96632597507245,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1896,Battery Park City,40.71193198,-74.01686931,Shake Shack,40.71532572032048,-74.01475032559945,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1897,Financial District,40.70710711,-74.01066545,Shake Shack,40.71070286896417,-74.00902390480043,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1898,Carnegie Hill,40.78268257,-73.95325647,Shake Shack,40.77909852079875,-73.9546857141302,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1899,Civic Center,40.71522892,-74.0054153,Lekka Burger,40.715246,-74.010559,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1900,Midtown South,40.74850966,-73.98871313,Shake Shack,40.751253113104504,-73.98762983461616,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1901,Midtown South,40.74850966,-73.98871313,Shake Shack,40.75095441720345,-73.99127483494439,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1902,Midtown South,40.74850966,-73.98871313,Five Guys,40.75186898405478,-73.98599395904463,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1903,Sutton Place,40.76028033,-73.96355614,Jimbo's,40.756625489372574,-73.96419952740159,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1904,Sutton Place,40.76028033,-73.96355614,Jackson Hole,40.7638694,-73.96297290000001,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1905,Tudor City,40.74691741,-73.97121929,Shake Shack,40.74966574698551,-73.97571869830242,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1906,Flatiron,40.73967305,-73.99094711,Shake Shack,40.741483710880935,-73.98821800947191,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1907,Hudson Yards,40.75665808,-74.00011136,Shake Shack,40.75403677919727,-74.00215884509286,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1908,JC07302,40.721602,-74.04703,Left Bank Burger Bar,40.72167503746749,-74.04614548811384,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1909,JC07302,40.721602,-74.04703,Diesel and Duke,40.722926866778714,-74.04926971412702,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1910,JC07307,40.748001,-74.04943,Dark Side of the Moo,40.746058623717865,-74.0445817907069,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
1911,Hoboken,40.744851,-74.03294,Bareburger,40.74269395470125,-74.02907006819072,Burger Joint,Food,Burger Joint,Burger Joint,Burger Joint
